iter,key,part_number,bytes,download_ms,vip,conn_id
0,bench/30gib-0.bin,18,33554432,638.34,3.5.77.103:443,
0,bench/30gib-0.bin,415,33554432,637.78,3.5.77.103:443,
0,bench/30gib-0.bin,209,33554432,639.62,3.5.87.215:443,
0,bench/30gib-0.bin,136,33554432,643.60,3.5.87.215:443,
0,bench/30gib-0.bin,406,33554432,643.50,52.92.243.34:443,
0,bench/30gib-0.bin,77,33554432,645.53,3.5.87.215:443,
0,bench/30gib-0.bin,27,33554432,645.65,16.15.33.174:443,
0,bench/30gib-0.bin,127,33554432,647.18,3.5.77.103:443,
0,bench/30gib-0.bin,439,33554432,646.83,3.5.87.215:443,
0,bench/30gib-0.bin,455,33554432,647.09,3.5.77.103:443,
0,bench/30gib-0.bin,502,33554432,647.29,3.5.77.103:443,
0,bench/30gib-0.bin,74,33554432,648.81,16.15.33.174:443,
0,bench/30gib-0.bin,464,33554432,650.77,3.5.77.103:443,
0,bench/30gib-0.bin,357,33554432,651.90,3.5.87.215:443,
0,bench/30gib-0.bin,436,33554432,651.86,3.5.87.215:443,
0,bench/30gib-0.bin,172,33554432,653.11,52.92.200.50:443,
0,bench/30gib-0.bin,287,33554432,655.01,52.92.234.242:443,
0,bench/30gib-0.bin,326,33554432,654.70,3.5.84.6:443,
0,bench/30gib-0.bin,54,33554432,655.74,3.5.87.215:443,
0,bench/30gib-0.bin,130,33554432,657.62,52.92.234.242:443,
0,bench/30gib-0.bin,379,33554432,656.34,3.5.77.103:443,
0,bench/30gib-0.bin,431,33554432,656.79,16.15.33.174:443,
0,bench/30gib-0.bin,312,33554432,660.87,16.15.33.174:443,
0,bench/30gib-0.bin,64,33554432,661.80,3.5.77.103:443,
0,bench/30gib-0.bin,32,33554432,665.41,3.5.77.103:443,
0,bench/30gib-0.bin,329,33554432,669.33,3.5.77.103:443,
0,bench/30gib-0.bin,109,33554432,669.11,3.5.84.6:443,
0,bench/30gib-0.bin,477,33554432,668.89,3.5.84.6:443,
0,bench/30gib-0.bin,6,33554432,671.00,3.5.77.103:443,
0,bench/30gib-0.bin,250,33554432,671.25,3.5.77.103:443,
0,bench/30gib-0.bin,65,33554432,672.06,3.5.77.103:443,
0,bench/30gib-0.bin,4,33554432,674.63,3.5.87.215:443,
0,bench/30gib-0.bin,370,33554432,673.89,16.15.33.174:443,
0,bench/30gib-0.bin,31,33554432,673.31,3.5.84.6:443,
0,bench/30gib-0.bin,41,33554432,674.31,3.5.77.103:443,
0,bench/30gib-0.bin,394,33554432,673.81,16.15.33.174:443,
0,bench/30gib-0.bin,174,33554432,675.32,3.5.77.103:443,
0,bench/30gib-0.bin,499,33554432,678.17,3.5.84.6:443,
0,bench/30gib-0.bin,420,33554432,678.13,3.5.84.6:443,
0,bench/30gib-0.bin,365,33554432,679.07,3.5.87.215:443,
0,bench/30gib-0.bin,211,33554432,680.87,16.15.33.174:443,
0,bench/30gib-0.bin,327,33554432,680.58,3.5.77.103:443,
0,bench/30gib-0.bin,517,33554432,339.94,3.5.84.6:443,
0,bench/30gib-0.bin,108,33554432,681.92,52.92.234.242:443,
0,bench/30gib-0.bin,237,33554432,684.42,3.5.77.103:443,
0,bench/30gib-0.bin,512,33554432,685.66,3.5.87.215:443,
0,bench/30gib-0.bin,264,33554432,685.28,16.15.33.174:443,
0,bench/30gib-0.bin,343,33554432,685.28,16.15.33.174:443,
0,bench/30gib-0.bin,220,33554432,686.49,52.92.234.242:443,
0,bench/30gib-0.bin,46,33554432,686.90,16.15.33.174:443,
0,bench/30gib-0.bin,191,33554432,691.82,3.5.87.215:443,
0,bench/30gib-0.bin,347,33554432,691.82,52.92.234.242:443,
0,bench/30gib-0.bin,391,33554432,691.92,3.5.77.103:443,
0,bench/30gib-0.bin,254,33554432,695.58,3.5.87.215:443,
0,bench/30gib-0.bin,138,33554432,697.67,3.5.87.215:443,
0,bench/30gib-0.bin,162,33554432,698.30,3.5.84.6:443,
0,bench/30gib-0.bin,463,33554432,700.95,3.5.84.6:443,
0,bench/30gib-0.bin,494,33554432,702.52,3.5.87.215:443,
0,bench/30gib-0.bin,491,33554432,704.80,3.5.87.215:443,
0,bench/30gib-0.bin,470,33554432,705.52,16.15.33.174:443,
0,bench/30gib-0.bin,243,33554432,706.65,16.15.33.174:443,
0,bench/30gib-0.bin,142,33554432,708.94,3.5.84.6:443,
0,bench/30gib-0.bin,359,33554432,713.10,16.15.33.174:443,
0,bench/30gib-0.bin,273,33554432,714.63,16.15.33.174:443,
0,bench/30gib-0.bin,194,33554432,715.75,52.92.234.242:443,
0,bench/30gib-0.bin,83,33554432,714.99,3.5.77.103:443,
0,bench/30gib-0.bin,121,33554432,717.43,3.5.87.215:443,
0,bench/30gib-0.bin,50,33554432,727.18,3.5.84.6:443,
0,bench/30gib-0.bin,465,33554432,727.22,3.5.84.6:443,
0,bench/30gib-0.bin,518,33554432,389.85,16.15.33.174:443,
0,bench/30gib-0.bin,68,33554432,735.24,3.5.84.6:443,
0,bench/30gib-0.bin,380,33554432,737.97,16.15.33.174:443,
0,bench/30gib-0.bin,17,33554432,748.03,3.5.87.215:443,
0,bench/30gib-0.bin,414,33554432,747.63,3.5.87.215:443,
0,bench/30gib-0.bin,508,33554432,748.93,3.5.87.215:443,
0,bench/30gib-0.bin,215,33554432,754.62,3.5.87.215:443,
0,bench/30gib-0.bin,364,33554432,755.79,3.5.87.215:443,
0,bench/30gib-0.bin,14,33554432,758.37,3.5.87.215:443,
0,bench/30gib-0.bin,118,33554432,761.03,3.5.77.103:443,
0,bench/30gib-0.bin,179,33554432,760.73,3.5.77.103:443,
0,bench/30gib-0.bin,164,33554432,763.19,3.5.84.6:443,
0,bench/30gib-0.bin,524,33554432,370.13,3.5.84.6:443,
0,bench/30gib-0.bin,317,33554432,768.18,3.5.84.6:443,
0,bench/30gib-0.bin,519,33554432,414.67,16.15.33.174:443,
0,bench/30gib-0.bin,44,33554432,767.85,52.92.234.242:443,
0,bench/30gib-0.bin,278,33554432,769.68,3.5.84.6:443,
0,bench/30gib-0.bin,226,33554432,773.25,16.15.33.174:443,
0,bench/30gib-0.bin,244,33554432,775.39,3.5.77.103:443,
0,bench/30gib-0.bin,13,33554432,776.95,3.5.77.103:443,
0,bench/30gib-0.bin,51,33554432,777.27,3.5.77.103:443,
0,bench/30gib-0.bin,242,33554432,779.05,3.5.84.6:443,
0,bench/30gib-0.bin,260,33554432,779.45,3.5.87.215:443,
0,bench/30gib-0.bin,283,33554432,785.51,52.92.234.242:443,
0,bench/30gib-0.bin,522,33554432,409.82,3.5.84.6:443,
0,bench/30gib-0.bin,204,33554432,786.31,52.92.234.242:443,
0,bench/30gib-0.bin,516,33554432,451.33,16.15.33.174:443,
0,bench/30gib-0.bin,401,33554432,797.84,3.5.84.6:443,
0,bench/30gib-0.bin,28,33554432,799.83,3.5.77.103:443,
0,bench/30gib-0.bin,514,33554432,464.86,3.5.84.6:443,
0,bench/30gib-0.bin,546,33554432,351.25,16.15.33.174:443,
0,bench/30gib-0.bin,293,33554432,815.24,3.5.77.103:443,
0,bench/30gib-0.bin,525,33554432,406.24,3.5.84.6:443,
0,bench/30gib-0.bin,520,33554432,447.08,16.15.33.174:443,
0,bench/30gib-0.bin,428,33554432,817.88,52.92.234.242:443,
0,bench/30gib-0.bin,513,33554432,480.40,16.15.33.174:443,
0,bench/30gib-0.bin,515,33554432,479.84,16.15.33.174:443,
0,bench/30gib-0.bin,565,33554432,338.97,16.15.33.174:443,
0,bench/30gib-0.bin,324,33554432,823.81,3.5.87.215:443,
0,bench/30gib-0.bin,7,33554432,825.72,3.5.87.215:443,
